abacus-seeds | Abacus Seeds | noodles | 520 | my
tamparuli-mee | Tamparuli Mee | noodles | 630 | my
tandoori-chicken | Tandoori Chicken | lauk | 290 | my
tangsuyuk | Tangsuyuk | lauk | 590 | kr
tapsilog | Tapsilog | rice | 650 | ph
tau-fu-fah | Tau Fu Fah (Soy Bean Pudding) | dessert | 150 | my,sg
tau-suan | Tau Suan | dessert | 293 | sg
taugeh-ikan-masin | Taugeh Ikan Masin | veg | 290 | my
tauhu-sumbat | Tauhu Sumbat | veg | 230 | my
teh-ais | Teh Ais | drinks | 150 | my,sg
teh-c | Teh C | drinks | 130 | my
teh-halia | Teh Halia | drinks | 160 | my
teh-krisan | Chrysanthemum Tea (Teh Krisan) | drinks | 90 | my
teh-o-ais | Teh O Ais | drinks | 60 | my
teh-o-limau | Teh O Limau Ais | drinks | 70 | my
teh-tarik | Teh Tarik | drinks | 130 | my,sg
telur-balado | Telur Balado | lauk | 130 | id
telur-dadar | Telur Dadar (Malaysian Omelette) | lauk | 290 | my
tempe-goreng | Tempe Goreng | lauk | 190 | id
tempoyak | Tempoyak | lauk | 40 | my
tempura | Tempura | lauk | 480 | jp
tempura-udon | Tempura Udon | noodles | 370 | jp
tenom-coffee | Tenom Coffee | drinks | 130 | my
tenom-mee | Tenom Mee | noodles | 670 | my
tepung-pelita | Tepung Pelita | snacks | 105 | my
thai-suki | Thai Suki | soup | 350 | th
thit-kho-trung | Thit Kho Trung | lauk | 460 | vn
thosai | Thosai (Tosai) | mamak | 170 | my,sg
three-layer-tea | Three Layer Tea (Teh C Peng Special) | drinks | 210 | my
tinola | Tinola | soup | 300 | ph
tod-mun-pla | Tod Mun Pla | snacks | 300 | th
tom-kha-gai | Tom Kha Gai | soup | 320 | th
tom-saap | Tom Saap | soup | 270 | th
tom-yum-goong | Tom Yum Goong | soup | 180 | th
tomato-beef-noodles | Tomato Beef Macaroni (Ke Ngau Tung) | western | 370 | hk
tomyam | Tomyam | soup | 250 | my
tongseng | Tongseng | lauk | 420 | id
tonkatsu | Tonkatsu | lauk | 442 | jp
tonkotsu-ramen | Tonkotsu Ramen | noodles | 525 | jp
tteokbokki | Tteokbokki | snacks | 335 | kr
tuaran-mee | Tuaran Mee | noodles | 650 | my
tub-tim-grob | Tub Tim Grob | dessert | 250 | th
tuhau | Tuhau | veg | 35 | my
turon | Turon | snacks | 220 | ph
tutu-kueh | Tutu Kueh | snacks | 150 | sg
ubi-kayu | Ubi Kayu | snacks | 310 | my
ufo-tart | UFO Tart | dessert | 200 | my
ulam-ulaman | Ulam-Ulaman | veg | 60 | my
umai | Umai | lauk | 200 | my
unagi-don | Unagi Don | rice | 671 | jp
vadai | Vadai | mamak | 195 | my
varuval | Varuval | lauk | 460 | my
wantan-mee | Wantan Mee | noodles | 510 | my,sg
wat-tan-hor | Wat Tan Hor | noodles | 640 | my
wild-boar | Wild Boar (Babi Hutan) | lauk | 460 | my
wonton-soup | Wonton Noodle Soup (Wan Tan Min) | noodles | 450 | hk
wu-kok | Wu Kok | dimsum | 300 | my
xiao-long-bao | Xiao Long Bao | dimsum | 320 | my
xoi-xeo | Xoi Xeo | rice | 600 | vn
yakiniku | Yakiniku | lauk | 1000 | jp
yakisoba | Yakisoba | noodles | 469 | jp
yakitori | Yakitori | lauk | 231 | jp
yee-mee | Yee Mee | noodles | 620 | my
yen-ta-fo | Yen Ta Fo | noodles | 290 | th
yong-chow-fried-rice | Yong Chow Fried Rice | rice | 620 | my
yong-tau-foo-fried | Yong Tau Foo (Fried) | snacks | 90 | my
yong-tau-foo-soup | Yong Tau Foo (Soup) | soup | 300 | my,sg
you-tiao | You Tiao | snacks | 192 | sg
yuenyeung | Yuenyeung (Coffee Milk Tea) | drinks | 130 | hk
zaru-soba | Zaru Soba | noodles | 362 | jp
zha-leung | Zha Leung (Rice Roll with Fried Dough Stick) | snacks | 450 | hk
